Timestamp,Stable,Reading
2025-12-05 11:11:47.271,1,-0.05
2025-12-05 11:11:47.372,1,-0.05
2025-12-05 11:11:47.473,1,-0.05
2025-12-05 11:11:47.575,1,-0.05
2025-12-05 11:11:47.675,1,-0.05
2025-12-05 11:11:47.794,1,-0.05
2025-12-05 11:11:47.895,1,-0.04
2025-12-05 11:11:47.996,0,-0.04
2025-12-05 11:11:48.097,0,-0.04
2025-12-05 11:11:48.197,0,-0.04
2025-12-05 11:11:48.298,0,-0.04
2025-12-05 11:11:48.399,0,-0.04
2025-12-05 11:11:48.500,0,-0.04
2025-12-05 11:11:48.601,0,-0.04
2025-12-05 11:11:48.703,0,-0.04
2025-12-05 11:11:48.803,0,-0.04
2025-12-05 11:11:48.906,0,-0.04
2025-12-05 11:11:49.007,0,-0.03
2025-12-05 11:11:49.107,0,-0.03
2025-12-05 11:11:49.208,0,-0.03
2025-12-05 11:11:49.309,0,-0.03
2025-12-05 11:11:49.410,0,-0.03
2025-12-05 11:11:49.511,0,-0.03
2025-12-05 11:11:49.612,0,-0.03
2025-12-05 11:11:49.713,0,-0.03
2025-12-05 11:11:49.814,0,-0.03
