Timestamp,Stable,Reading
2025-12-05 10:54:12.452,0,-0.02
2025-12-05 10:54:12.554,0,-0.02
2025-12-05 10:54:12.656,0,-0.02
2025-12-05 10:54:12.756,0,-0.02
2025-12-05 10:54:12.857,0,-0.02
2025-12-05 10:54:12.958,0,-0.02
2025-12-05 10:54:13.058,1,-0.02
2025-12-05 10:54:13.159,1,-0.02
2025-12-05 10:54:13.260,1,-0.03
2025-12-05 10:54:13.362,1,-0.03
2025-12-05 10:54:13.462,1,-0.03
2025-12-05 10:54:13.564,0,-0.03
2025-12-05 10:54:13.665,0,-0.03
2025-12-05 10:54:13.767,0,-0.03
2025-12-05 10:54:13.868,0,-0.03
2025-12-05 10:54:13.969,0,-0.03
2025-12-05 10:54:14.070,0,-0.03
2025-12-05 10:54:14.171,0,-0.03
2025-12-05 10:54:14.272,0,-0.03
2025-12-05 10:54:14.372,0,-0.03
2025-12-05 10:54:14.473,0,-0.03
2025-12-05 10:54:14.574,0,-0.03
2025-12-05 10:54:14.675,1,-0.02
2025-12-05 10:54:14.775,1,-0.02
2025-12-05 10:54:14.877,1,-0.02
2025-12-05 10:54:14.977,1,-0.02
2025-12-05 10:54:15.078,0,-0.02
2025-12-05 10:54:15.180,0,-0.02
2025-12-05 10:54:15.280,0,-0.02
2025-12-05 10:54:15.381,0,-0.02
2025-12-05 10:54:15.481,0,-0.01
2025-12-05 10:54:15.582,0,-0.01
2025-12-05 10:54:15.683,0,-0.01
2025-12-05 10:54:15.783,0,-0.01
2025-12-05 10:54:15.884,0,-0.01
2025-12-05 10:54:15.985,0,-0.01
2025-12-05 10:54:16.085,0,-0.01
2025-12-05 10:54:16.187,0,-0.01
2025-12-05 10:54:16.287,0,-0.01
2025-12-05 10:54:16.388,0,-0.01
2025-12-05 10:54:16.489,0,-0.01
2025-12-05 10:54:16.589,0,-0.01
2025-12-05 10:54:16.690,0,-0.01
2025-12-05 10:54:16.791,0,-0.01
2025-12-05 10:54:16.892,0,-0.01
2025-12-05 10:54:16.993,1,0.0
2025-12-05 10:54:17.093,1,0.0
2025-12-05 10:54:17.194,1,0.0
2025-12-05 10:54:17.295,1,0.0
2025-12-05 10:54:17.396,1,0.0
2025-12-05 10:54:17.496,1,0.0
2025-12-05 10:54:17.597,1,0.0
2025-12-05 10:54:17.698,1,0.0
2025-12-05 10:54:17.799,0,0.0
2025-12-05 10:54:17.900,0,0.01
2025-12-05 10:54:18.001,0,0.01
2025-12-05 10:54:18.102,0,0.01
2025-12-05 10:54:18.203,0,0.01
2025-12-05 10:54:18.304,0,0.01
2025-12-05 10:54:18.405,0,0.01
2025-12-05 10:54:18.506,0,0.01
2025-12-05 10:54:18.607,0,0.01
2025-12-05 10:54:18.708,0,0.01
2025-12-05 10:54:18.809,0,0.01
2025-12-05 10:54:18.909,0,0.01
2025-12-05 10:54:19.010,0,0.01
2025-12-05 10:54:19.111,0,0.01
2025-12-05 10:54:19.212,0,0.01
2025-12-05 10:54:19.313,0,0.01
2025-12-05 10:54:19.413,0,0.01
2025-12-05 10:54:19.514,1,0.0
2025-12-05 10:54:19.614,1,0.0
2025-12-05 10:54:19.715,1,0.0
2025-12-05 10:54:19.816,1,0.0
2025-12-05 10:54:19.918,1,0.0
2025-12-05 10:54:20.019,1,0.0
2025-12-05 10:54:20.120,1,0.0
